review,sentiment
데스노트 시리즈로 국내에 알려진 마츠야마 켄이치가 다시 주연으로 등장. 역시 좀 오글거리는 느낌. 크로우즈 제로에서 강렬한 인상을 준 야마다 타카유키도 등장,0
첨엔 흥미진진했으나갑자기 막장 역시여자는 악의축 악의씨앗 불행의 시작 모든 역병의 원인 사회악 저출산의 원인 등등등,1
진짜 나 영화평점 한번도 안썻는데 진짜 이번만은 쓴다 진짜 내가 이딴영화 보려고 돈낸거 너무후회하고 정말 세상에서 없어저야할 감독과 영화다 진짜 보지마 그냥 어떤거냐면 처음시작 도입부부터 재미없다는걸 느끼는 영화다 최악이다.,0
아 설마 이런이런 스토리는 아니겠지 라고 예상하면 예상한 그대로 진행된 졸라 뻔한 반전 뻔한 스토리..,0
"""""""천안함은 잠수함과 충돌"""" 연구논문 나와 : 논문에 따르면 천안함 침몰 당시 백령도에서 기록된 지진파의 주파수 스펙트럼이 대형 잠수함의 축-진동 고유진동 주파수 스펙트럼과 일치함을 보였다. 군 당국에서 언론에 공개한 반파된 천안함의 열상감지장치(TOD""",1
케빈 코스트너가 배우뿐만 아니라 감독에도 엄청난 천재성을 보여준 영화 그리고 수많은 생각을 하게해준 영화이다. 3시간50분의 긴 러닝타임으로 다소 지루해할수도 있지만 그 단점은 이 영화앞에서는 아주 작은 단점에 불과하게 만들뿐인듯하다,1
송중기팬이라 봤지만.. 정말 영화는 너무 재미없다. 한예슬씨 연기은 변함없이 늘 같은 느낌이다. 얼굴은 예쁘시나 연기력은 정말 없으신거 같다..,0
그냥 티비에 나오길래 한번 보자 하고 봤더니... 눈물이... 이건 대작입니다ㅠ 왜 이걸 여태것 안봤을까요... 왜 사람들이 내 머리 속의 지우개 하는지 알것같습니다ㅠ 짱짱,1
음 다른건 다 그렇다 치고 김규리씨는 다신 애를 못낳는다고 해놓고 엔딩에서 어떻게 둘째를 출산하죠... ㅋㅋㅋㅋ,0
리스닝용으로 보겠습니다.동물덕후라서 기대하고 있었는데 기대 이하더라고요아예 재미 자체가 없는 건 아니지만 귀 뚫릴 때까지 보려면 지루하겠어요.하지만 그림 참고용은 되겠습니다돈 내고 봤으면 아까웠겠어요,0
스릴은 정말 최고다! 계속되는 긴장감 속에 손에 땀이 없는 나도 땀이 나는 느낌이다. 하지만 경찰을 믿지 않는 시민과 혼자 다니는 경찰이 답답하긴 하다!,1
15년 만에 다시 봤는데... 예전과는 다른 느낌이. 김기덕을 다시 보게끔 한다. 부채질 하는 장면이 아주..,1
남들 다 대놓고 자기 욕심 드러낼때 끝에 끝까지 최종적인 목적을 드러내지 않았던 마카오박의 포커페이스에 반했다 이거지.,1
"어릴때 본, 최고의 영화, 노름꾼과 도둑, 사기꾼이 판치는 배경으로 요즘은 흔한 반전...이라는 것이 있는 명작....유쾌한 음악은 덤이다",1
